rank,name,mbid,listeners,playcount,url
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,5058137,1034007365,https://www.last.fm/music/The+Weeknd
2,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,7947393,1280044014,https://www.last.fm/music/Radiohead
3,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,5688951,3446441978,https://www.last.fm/music/Taylor+Swift
4,"Tyler, The Creator",f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,4100342,973426021,"https://www.last.fm/music/Tyler,+The+Creator"
5,Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077,4860328,963515130,https://www.last.fm/music/Kendrick+Lamar
6,Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,4207097,1004791088,https://www.last.fm/music/Ariana+Grande
7,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,7443463,966126555,https://www.last.fm/music/Lady+Gaga
8,Kanye West,,7703612,1428719813,https://www.last.fm/music/Kanye+West
9,Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4,2991508,551273160,https://www.last.fm/music/Sabrina+Carpenter
10,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,6487133,1055801196,https://www.last.fm/music/Drake
11,Charli xcx,260b6184-8828-48eb-945c-bc4cb6fc34ca,3551807,645718849,https://www.last.fm/music/Charli+xcx
12,Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,3984194,365443126,https://www.last.fm/music/Tame+Impala
13,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,8011919,556173646,https://www.last.fm/music/Rihanna
14,Billie Eilish,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,3996501,770544369,https://www.last.fm/music/Billie+Eilish
15,Lana Del Rey,b7539c32-53e7-4908-bda3-81449c367da6,5021981,1456996109,https://www.last.fm/music/Lana+Del+Rey
16,Gorillaz,e21857d5-3256-4547-afb3-4b6ded592596,6599240,475293938,https://www.last.fm/music/Gorillaz
17,Arctic Monkeys,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,6841824,884245991,https://www.last.fm/music/Arctic+Monkeys
18,Doja Cat,5df62a88-cac9-490a-b62c-c7c88f4020f4,3407034,426631800,https://www.last.fm/music/Doja+Cat
19,Frank Ocean,e520459c-dff4-491d-a6e4-c97be35e0044,4056188,721894776,https://www.last.fm/music/Frank+Ocean
20,The Neighbourhood,53b06622-ec51-4924-a554-58b0affde6b5,3720287,353329342,https://www.last.fm/music/The+Neighbourhood
21,Paramore,44cf61b8-5197-448a-b82b-cef6ee89fac5,5382139,542123585,https://www.last.fm/music/Paramore
22,Chappell Roan,56a55378-f155-48de-80a5-d80104221267,2367733,298556251,https://www.last.fm/music/Chappell+Roan
23,The Marías,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,2226083,189578403,https://www.last.fm/music/The+Mar%C3%ADas
24,Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,4503532,286543058,https://www.last.fm/music/Justin+Bieber
25,Deftones,7527f6c2-d762-4b88-b5e2-9244f1e34c46,4002726,511069275,https://www.last.fm/music/Deftones
26,Travis Scott,,3161085,635290126,https://www.last.fm/music/Travis+Scott
27,PinkPantheress,7441014f-f8f5-494f-81db-ff166fbc078d,2687859,260294427,https://www.last.fm/music/PinkPantheress
28,The Smiths,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,4831327,499149539,https://www.last.fm/music/The+Smiths
29,Joji,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,2785575,321264227,https://www.last.fm/music/Joji
30,Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419,6685157,688223112,https://www.last.fm/music/Linkin+Park
31,Fleetwood Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,4633167,267756194,https://www.last.fm/music/Fleetwood+Mac
32,Michael Jackson,f27ec8db-af05-4f36-916e-3d57f91ecf5e,6549551,322997036,https://www.last.fm/music/Michael+Jackson
